Number of Iterations,Total Nodes,Nodes in Actual Path,Path Length
294,203,57,56.0
250,159,60,58.99999999999999
411,266,66,65.0
276,202,54,53.0
337,206,53,52.0
274,198,52,51.0
223,173,52,51.0
271,206,56,54.99999999999999
310,140,53,52.0
230,167,53,52.0
337,186,57,56.0
257,167,55,54.0
254,123,54,53.0
185,123,54,53.0
339,217,61,60.0
281,189,55,54.0
234,158,56,55.0
552,368,60,59.0
255,133,50,49.0
271,179,61,60.0
211,134,56,55.0
329,204,54,53.0
220,161,56,55.0
247,175,54,52.99999999999999
411,240,73,72.0
292,119,54,53.0
333,179,56,55.0
410,156,54,53.0
261,194,53,52.0
234,136,63,62.0
294,206,60,58.99999999999999
243,173,54,53.0
248,178,52,51.0
224,125,55,54.0
356,179,55,54.0
283,167,58,57.0
276,165,55,54.0
361,228,52,51.0
348,219,53,51.99999999999999
589,316,75,74.0
285,216,53,52.0
311,235,57,56.0
337,144,52,51.0
203,141,54,53.0
268,208,61,60.0
396,272,68,67.0
268,156,56,55.0
243,163,55,54.0
298,191,54,53.0
395,281,55,54.0
283,179,52,51.0
280,200,53,52.0
241,160,57,56.0
366,221,52,51.0
434,185,56,55.0
316,205,62,61.0
466,308,54,53.0
205,131,54,53.0
310,160,52,51.0
225,169,51,50.0
199,150,56,55.0
242,190,54,53.0
341,179,60,59.0
247,170,56,55.0
218,111,56,54.99999999999999
367,236,55,54.0
379,210,67,66.0
302,210,63,62.0
207,153,55,54.0
272,175,55,53.99999999999999
248,153,54,53.0
249,177,54,53.0
208,136,51,50.0
339,172,55,54.0
341,263,58,57.0
342,238,53,52.0
335,127,56,55.0
583,370,65,64.0
239,159,54,53.0
227,176,56,55.0
239,143,59,58.0
252,160,58,56.99999999999999
307,158,54,53.0
432,280,63,62.0
315,182,63,62.00000000000001
288,185,56,54.99999999999999
367,197,57,56.0
245,160,54,53.0
339,206,63,62.0
313,214,60,58.999999999999986
228,149,59,58.00000000000001
358,248,63,62.0
285,144,56,55.0
308,220,52,51.0
295,204,54,53.0
294,173,51,50.0
267,146,54,53.0
321,213,54,53.0
212,126,52,51.0
280,165,61,60.0
341,241,57,56.0
389,241,67,66.0
301,172,58,57.0
176,114,52,51.0
308,233,53,52.0
249,132,56,55.0
293,128,55,54.0
490,319,56,55.0
315,250,53,52.0
344,224,55,53.99999999999999
269,137,57,56.0
337,229,56,55.0
435,334,65,64.0
338,215,57,56.0
365,261,64,63.0
239,145,51,50.000000000000014
240,143,51,50.00000000000001
248,177,57,56.0
256,151,55,54.0
340,256,64,63.0
301,180,54,53.0
426,295,57,56.0
196,138,57,56.0
272,202,55,54.0
330,236,63,62.0
367,239,70,69.0
257,160,52,51.0
279,178,55,54.0
217,117,52,51.0
243,153,52,50.99999999999999
328,214,53,52.0
303,181,54,53.0
262,142,56,55.0
185,136,58,57.0
327,192,65,64.0
321,201,55,54.0
477,338,67,66.0
324,211,55,54.0
266,194,54,53.0
212,148,54,53.0
251,175,54,53.0
228,159,54,53.0
342,226,57,56.0
352,216,58,57.0
231,138,53,51.99999999999999
196,118,58,57.0
417,266,55,54.0
310,171,52,51.0
382,162,53,52.0
347,210,57,56.0
345,214,52,51.0
265,180,56,55.0
268,151,56,55.00000000000001
206,144,52,51.0
250,155,53,52.0
283,216,55,54.0
369,244,56,55.0
328,154,52,51.0
244,145,54,53.0
286,180,56,55.0
