Number of Iterations,Total Nodes,Nodes in Actual Path,Path Length
913,701,61,60.0
604,511,59,58.0
525,387,60,59.0
800,660,65,64.0
635,496,58,57.0
1136,938,57,56.0
1358,1074,60,59.0
1484,1254,59,58.0
606,457,60,59.0
606,467,65,64.0
870,716,58,57.0
723,631,56,54.99999999999999
674,507,56,54.99999999999999
982,719,60,59.0
1099,768,66,65.0
591,472,55,54.0
455,241,60,58.99999999999999
477,338,56,55.0
386,286,58,57.0
807,674,55,54.0
616,507,57,56.0
961,792,59,57.99999999999999
813,700,59,58.0
1038,872,61,59.99999999999999
390,318,56,54.99999999999999
777,596,61,60.0
346,238,55,54.0
568,443,56,55.0
1808,1526,59,58.0
395,268,58,57.0
405,300,60,59.0
1233,1018,58,57.0
453,342,57,56.0
804,644,59,58.0
463,336,58,57.0
638,541,60,59.0
1069,902,56,55.0
466,363,55,53.99999999999999
717,606,56,55.0
1123,925,58,57.00000000000001
420,328,58,57.0
696,547,61,59.99999999999999
580,370,55,54.0
1202,980,64,63.0
539,436,59,58.0
502,395,58,57.0
473,368,56,55.00000000000001
447,329,58,57.0
620,469,62,61.0
634,415,62,61.0
796,623,59,58.0
898,746,63,62.0
1151,943,58,57.0
1077,907,58,57.0
972,765,66,65.0
732,607,62,61.0
697,451,62,61.0
525,378,65,64.0
1161,931,74,72.99999999999999
785,656,57,56.0
610,493,58,57.0
1326,1058,60,59.0
656,475,59,58.0
878,667,55,54.0
329,224,54,53.0
517,404,61,60.0
667,534,53,52.0
676,580,62,61.0
714,568,57,56.00000000000001
584,473,57,56.0
581,483,57,56.0
537,458,55,53.99999999999999
371,271,57,56.0
593,480,58,57.0
481,408,53,52.0
625,480,54,53.0
1046,883,57,56.0
917,773,63,62.0
886,576,66,65.0
890,729,67,66.0
531,434,62,61.0
691,534,59,58.0
450,360,60,59.0
538,459,57,56.0
406,320,54,52.99999999999999
924,696,54,53.0
803,620,57,56.0
528,366,55,54.0
687,506,61,60.0
851,619,63,62.0
476,352,60,58.99999999999999
604,445,56,55.0
468,363,55,54.0
380,292,55,54.0
427,309,55,54.0
1379,1152,62,61.0
401,278,63,61.99999999999999
653,537,64,63.0
765,581,61,60.0
935,771,62,61.0
730,589,57,56.0
306,240,57,56.0
383,323,62,61.0
869,731,52,51.0
580,453,61,59.99999999999999
412,278,61,60.0
1221,978,63,62.0
493,388,56,55.0
376,287,54,53.0
590,433,61,60.0
558,436,64,63.0
697,531,66,65.0
799,621,59,58.0
2094,1737,64,63.0
550,423,54,53.0
371,260,54,53.0
1391,1156,59,58.0
630,321,62,61.0
457,375,57,56.0
585,420,54,53.0
1551,1301,60,59.0
765,628,55,54.0
373,269,53,52.0
619,491,56,55.0
802,646,65,64.0
660,497,55,54.0
368,227,54,53.0
724,583,59,58.0
566,457,55,54.0
709,606,57,56.0
747,591,59,58.0
528,414,58,57.0
835,474,73,72.0
1215,862,59,58.0
1164,849,72,71.0
692,538,74,73.0
891,726,60,58.99999999999999
1998,1642,55,54.0
547,382,58,57.0
653,514,55,54.0
525,341,55,54.0
899,747,58,57.0
1171,896,58,57.0
704,574,53,52.0
383,234,55,54.0
517,417,58,57.0
712,590,59,58.0
822,664,64,63.0
2647,2249,56,54.999999999999986
716,577,57,56.0
720,612,59,58.0
984,672,67,66.0
789,603,60,59.0
434,341,56,55.00000000000001
338,233,56,55.0
1178,931,64,62.99999999999999
912,742,60,59.0
678,534,56,55.0
857,701,54,53.0
612,422,59,58.0
754,543,63,62.0
707,575,55,54.0
1964,1637,56,55.0
491,399,58,56.99999999999999
691,593,63,61.99999999999999
954,765,62,61.0
599,528,57,56.0
546,413,57,56.0
528,399,56,55.0
609,390,62,61.0
516,380,57,56.0
370,257,57,56.0
1311,1102,60,59.0
842,649,56,54.99999999999999
633,432,64,63.0
738,577,65,64.0
528,371,59,58.0
865,662,59,58.0
560,422,63,62.0
1075,893,58,57.0
650,475,56,55.0
1032,856,64,63.0
594,464,61,60.0
569,484,60,59.0
598,475,62,61.0
820,642,62,61.0
762,483,65,63.99999999999999
1222,991,61,60.0
519,444,57,56.0
553,387,55,54.0
607,503,53,52.0
394,271,65,64.0
558,459,63,61.99999999999999
718,576,63,62.0
378,247,54,53.0
575,465,54,53.0
617,348,64,63.0
832,654,58,57.0
963,628,60,58.99999999999999
475,391,54,53.0
469,369,57,56.0
500,349,59,58.0
684,523,57,56.0
2185,1873,58,57.0
1125,940,56,55.0
715,554,55,54.0
406,343,53,52.0
878,658,59,58.0
590,471,60,59.0
1421,1198,65,63.99999999999999
534,429,58,57.0
428,286,62,61.0
530,396,56,55.0
1302,1079,64,63.0
779,556,82,81.0
1389,1170,61,60.0
454,375,56,55.0
995,778,64,63.0
1091,921,56,55.0
443,328,58,57.0
392,252,57,56.0
1288,1005,64,63.0
485,420,56,55.0
652,550,58,57.0
654,496,54,53.00000000000001
811,610,56,54.99999999999999
828,708,56,55.0
1038,895,58,57.0
717,520,74,73.0
499,356,65,64.0
499,359,56,55.0
978,702,69,68.0
863,570,70,69.0
1009,814,62,61.0
655,521,60,59.0
1059,876,60,59.0
372,277,59,58.0
448,343,55,54.0
525,425,58,57.0
1161,950,61,60.0
907,710,56,55.0
513,348,62,60.999999999999986
526,333,58,57.0
833,580,81,80.0
1299,1089,57,56.0
1126,976,57,56.0
713,572,65,63.99999999999999
681,574,59,58.0
784,634,60,59.0
662,514,62,61.0
812,667,60,59.0
722,615,55,54.0
552,430,59,58.0
410,336,59,58.0
530,419,62,61.0
1181,966,56,55.0
1315,1104,59,58.0
920,739,64,63.0
472,355,56,54.99999999999999
489,383,55,54.0
763,517,58,57.0
583,501,56,55.0
535,427,59,58.0
436,309,59,58.0
511,428,59,57.999999999999986
721,538,55,54.0
692,574,59,58.0
351,268,58,57.0
610,474,69,68.0
1164,956,58,56.99999999999999
573,406,66,65.0
624,423,60,58.99999999999999
461,409,65,64.0
645,469,55,54.0
1261,1045,60,59.0
856,632,56,54.99999999999999
512,407,56,55.0
904,736,58,57.0
394,252,55,54.0
464,314,59,58.0
621,387,66,65.0
298,238,54,53.0
1581,1320,59,58.0
473,341,64,63.0
388,336,59,58.0
712,586,62,60.99999999999999
768,536,69,68.0
960,774,60,59.0
542,447,64,63.0
1188,1006,62,61.0
1064,825,67,66.0
812,645,60,59.0
1724,1466,58,57.0
493,355,61,60.0
1854,1572,61,60.0
592,460,59,58.0
642,534,57,56.0
467,337,62,61.0
511,364,57,56.0
913,632,64,63.0
475,372,57,56.0
714,607,63,62.0
658,493,64,63.0
1483,1054,63,62.0
499,384,57,56.0
717,540,60,59.0
698,492,61,60.0
1476,1221,64,63.0
541,395,58,56.99999999999999
824,646,64,63.0
725,523,69,68.0
1065,891,58,57.0
408,375,55,54.0
908,701,58,56.99999999999999
772,625,59,58.0
1639,1371,59,58.0
909,736,56,55.0
426,285,55,54.0
402,307,55,54.0
1174,980,66,65.0
681,498,63,62.0
1107,928,59,58.0
744,596,63,62.0
1160,852,57,56.0
374,275,59,58.0
1137,857,58,57.0
596,491,58,57.0
348,234,55,54.0
391,318,59,58.0
684,553,61,60.0
851,491,68,67.0
651,517,57,56.0
537,414,65,64.0
843,656,57,56.0
772,561,64,63.0
640,526,55,54.0
847,698,57,56.0
447,277,61,60.0
518,369,62,61.0
1455,1227,66,65.0
784,551,59,58.0
1654,1413,59,57.99999999999999
954,711,57,55.99999999999999
647,491,56,54.99999999999999
457,341,57,55.99999999999999
777,431,66,65.0
525,428,59,58.0
1098,879,63,62.0
690,433,65,63.99999999999999
671,446,57,56.0
907,690,64,63.0
567,463,60,59.0
451,356,59,57.99999999999999
1023,817,65,64.0
1032,832,66,65.0
718,625,55,54.0
1244,1043,59,58.0
744,619,56,55.0
793,632,53,52.0
495,385,53,52.0
434,349,56,55.0
987,817,58,57.0
695,615,58,57.0
787,631,59,58.0
1046,687,60,59.0
955,765,59,58.0
474,389,61,59.99999999999999
1254,1014,61,60.0
986,846,55,54.0
1093,857,58,57.0
435,330,57,56.0
581,466,55,54.0
814,654,56,54.99999999999999
502,316,58,57.0
676,528,59,58.0
354,294,60,59.0
718,525,58,57.0
567,492,57,56.0
657,447,59,58.0
324,255,59,58.0
1329,1108,57,56.0
592,330,57,56.0
565,493,58,57.0
1169,980,59,58.0
1232,901,69,68.0
986,727,56,55.0
594,403,63,62.0
865,718,65,64.0
538,449,57,56.0
1218,1011,64,63.0
445,322,56,55.0
759,583,60,59.0
657,529,64,63.0
1009,812,66,65.0
628,447,57,56.0
761,572,56,55.0
858,714,60,59.0
493,373,57,56.0
1125,900,65,64.0
408,253,60,59.00000000000001
590,456,57,56.0
926,753,64,63.0
556,392,59,57.999999999999986
313,254,58,57.0
632,500,54,53.0
686,476,82,81.0
587,456,61,60.0
1013,864,63,62.0
1034,837,60,59.0
1561,1309,60,59.0
736,559,60,59.0
911,685,57,56.0
959,765,65,64.0
732,630,57,56.0
697,551,60,59.0
471,379,58,57.0
512,368,60,58.99999999999999
481,347,61,60.0
830,639,59,58.0
586,425,56,55.0
577,465,57,56.0
727,572,60,59.0
981,788,58,57.0
573,458,58,57.0
492,397,57,56.0
997,832,56,55.0
356,284,56,55.0
844,724,59,58.0
661,474,59,58.0
748,523,56,55.0
835,688,54,53.0
708,611,57,56.0
1022,847,59,58.0
538,445,54,53.0
1242,1024,58,57.0
807,659,61,60.0
1657,1356,60,59.0
409,325,56,55.0
513,351,55,53.99999999999999
449,310,61,60.0
698,558,61,60.0
603,478,63,62.0
424,312,58,57.0
520,352,59,57.99999999999999
616,505,65,64.0
1081,888,61,59.99999999999999
1066,825,73,72.0
853,496,65,64.0
762,635,55,54.0
483,412,56,55.0
882,664,56,55.0
914,734,60,59.0
303,216,53,51.99999999999999
494,355,56,55.0
1215,1030,64,63.0
690,550,57,56.0
960,800,57,56.0
438,254,58,57.0
531,394,57,56.0
673,506,61,60.0
603,441,60,59.0
670,511,59,58.0
758,591,58,57.0
765,629,56,55.0
604,481,61,60.0
1337,1087,63,62.0
422,310,56,55.0
475,391,57,56.0
445,358,57,56.0
444,307,53,52.0
1031,809,65,63.999999999999986
544,389,59,57.99999999999999
430,279,59,58.0
608,447,68,67.0
630,501,56,55.0
486,368,63,62.0
473,363,61,60.0
1116,825,68,67.00000000000001
374,269,55,54.0
1062,836,62,61.0
534,386,56,55.0
816,650,57,56.0
543,468,60,59.0
617,511,58,57.0
704,536,60,58.99999999999999
404,289,55,54.0
998,770,56,55.0
522,406,56,54.99999999999999
1386,1082,57,56.0
514,437,54,53.0
522,416,58,57.0
631,479,58,57.0
807,684,60,59.0
601,413,56,54.99999999999999
388,267,56,55.0
591,496,63,62.0
958,790,65,64.0
1559,1232,58,57.0
709,538,55,54.0
564,446,65,64.0
573,422,57,56.0
930,709,59,58.0
520,359,56,55.0
527,384,57,56.0
1013,713,67,66.0
541,459,54,53.0
1171,1006,54,53.0
568,445,59,58.0
690,512,57,56.0
852,520,71,70.0
1508,1200,70,69.0
579,389,63,62.0
779,670,55,54.0
1520,1257,62,60.99999999999999
488,393,59,57.99999999999999
759,504,70,69.0
682,575,58,56.99999999999999
512,410,59,58.0
816,650,62,61.0
734,572,55,54.0
1188,883,59,57.99999999999999
486,384,66,65.0
927,782,59,58.0
1704,1240,66,65.0
480,340,58,57.0
391,325,55,54.0
716,584,60,59.0
558,437,56,55.0
591,486,62,61.0
634,471,64,63.0
1035,835,62,61.0
436,303,56,55.0
1153,716,59,58.0
527,356,63,62.0
394,328,59,58.0
684,557,63,62.0
413,312,57,56.0
381,306,53,52.0
429,318,60,59.0
357,288,55,54.0
746,558,60,59.0
558,439,58,57.0
390,316,53,52.0
577,440,55,54.0
633,508,55,53.999999999999986
498,412,57,56.0
595,512,57,56.0
969,755,62,61.0
1939,1614,71,70.0
514,413,55,54.0
588,502,58,57.0
420,316,61,60.0
650,539,53,52.0
1222,1007,61,60.0
765,564,60,59.0
731,588,57,56.0
396,323,56,55.0
746,590,55,54.0
776,558,71,70.0
492,335,54,53.0
910,744,55,54.0
768,637,61,59.99999999999999
616,522,57,56.0
908,666,77,76.0
823,709,58,57.0
595,463,58,57.0
734,514,61,60.0
729,547,59,58.0
871,629,64,63.0
986,715,60,59.0
585,442,66,65.0
1060,852,58,57.0
1376,1134,61,60.0
664,483,62,61.0
799,609,59,58.0
423,300,60,59.0
753,642,61,60.0
1036,814,74,73.0
938,774,64,63.0
539,358,57,56.0
790,608,65,64.0
759,561,58,57.0
382,283,63,62.0
1011,819,58,57.0
829,627,65,64.0
809,617,69,68.0
773,640,58,57.0
477,375,55,54.0
440,279,61,60.0
466,379,61,60.0
1036,747,58,57.0
803,608,61,60.0
440,351,57,56.0
605,449,59,58.0
679,545,58,57.0
866,667,54,53.0
1190,977,61,60.0
790,630,55,53.99999999999999
1712,1302,69,68.0
700,466,62,61.0
725,502,63,62.0
977,831,54,53.0
425,354,56,55.0
589,429,60,59.0
411,327,58,57.0
898,745,57,56.0
398,299,54,53.0
1283,1066,59,58.0
1099,882,67,66.0
472,366,58,57.0
993,830,61,60.0
1834,1551,63,62.0
708,515,63,62.0
403,325,59,58.0
999,814,71,70.0
665,546,60,59.0
937,769,54,53.0
1068,929,60,59.0
760,535,61,60.0
687,564,56,55.00000000000001
602,335,55,54.0
1120,753,59,58.0
547,370,80,79.0
1135,949,61,59.99999999999999
487,394,54,53.0
1290,1011,63,62.0
1338,1062,66,65.0
554,372,56,54.99999999999999
990,780,59,58.0
686,555,63,62.0
994,819,61,60.0
1022,825,60,59.0
708,565,59,58.0
762,602,56,55.0
540,476,57,56.0
546,414,59,57.99999999999999
487,380,56,55.0
431,329,56,55.0
573,433,59,58.0
597,448,57,56.0
949,738,61,60.0
1200,1022,59,58.0
424,353,56,55.0
450,332,58,57.0
1114,919,55,53.99999999999999
2739,2322,58,57.0
466,335,57,56.0
748,620,55,54.0
1073,908,59,58.0
705,551,68,67.0
416,314,56,55.0
888,708,58,57.0
732,562,61,60.0
1120,927,54,53.0
516,413,61,60.0
753,545,58,57.0
407,336,54,53.0
1376,1184,64,63.0
429,259,58,57.0
807,660,60,59.0
940,772,63,62.0
421,356,60,59.0
556,486,58,57.0
748,651,58,57.0
387,316,58,57.0
957,777,66,65.0
524,385,59,58.0
763,619,62,60.99999999999999
484,378,55,54.0
741,568,61,59.99999999999999
775,651,55,54.0
811,636,62,61.0
637,468,58,57.0
567,436,58,57.0
651,460,60,59.0
521,351,65,64.0
345,262,56,55.0
598,510,62,61.0
688,538,56,55.0
680,569,58,57.0
601,437,53,51.99999999999999
442,359,56,55.0
851,706,57,56.0
510,346,54,53.0
573,421,57,56.0
1044,835,54,53.0
572,368,58,57.0
1200,962,61,60.0
1234,965,65,64.0
612,507,56,55.0
763,479,67,65.99999999999999
1537,1328,62,61.0
839,651,57,56.0
617,468,60,58.99999999999999
1278,1076,59,58.0
1710,1452,64,62.99999999999999
865,633,58,56.999999999999986
1325,939,73,72.0
594,459,65,63.99999999999999
713,545,72,71.0
971,827,58,57.0
1107,934,60,59.0
1081,912,63,62.0
1112,892,63,62.0
421,305,60,59.0
793,621,68,67.0
